"title","location","rent_per_month","rooms","area_sq_m","czynsz","url"
"Biskupin, Spółdzielcza, 2 pokoje z kuchnią rozkład","Śródmieście","2300","2","48","+ czynsz: 600 zł/miesiąc","/pl/oferta/biskupin-spoldzielcza-2-pokoje-z-kuchnia-rozklad-ID4aGT7"
"Wynajmę mieszkanie dwupokojowe z garażem,Nyska54","Krzyki","2950","2","47","+ czynsz: 500 zł/miesiąc","/pl/oferta/wynajme-mieszkanie-dwupokojowe-z-garazem-nyska54-ID4kHeC"
"2-pok, 48m2, miejsce post. balkon, od zaraz!","Fabryczna","2800","2","48","+ czynsz: 500 zł/miesiąc","/pl/oferta/2-pok-48m2-miejsce-post-balkon-od-zaraz-ID4kGwA"
"Do wynajęcia 2pok. z dużą kuchnią Skwierzyńska","Krzyki","2800","2","58","+ czynsz: 800 zł/miesiąc","/pl/oferta/do-wynajecia-2pok-z-duza-kuchnia-skwierzynska-ID4kJPG"
"Lux - 2 pokoje- balkon-garaż","Krzyki","2500","2","38","+ czynsz: poszukaj w opisie","/pl/oferta/lux-2-pokoje-balkon-garaz-ID4kFkV"
"Jasna kawalerka na Sępolnie","Śródmieście","2200","1","34","+ czynsz: 200 zł/miesiąc","/pl/oferta/jasna-kawalerka-na-sepolnie-ID4keQb"
"64 m, 2 pokoje, Wrocław, Długopolska 35","Krzyki","2900","2","64","+ czynsz: 600 zł/miesiąc","/pl/oferta/64-m-2-pokoje-wroclaw-dlugopolska-35-ID4aY2n"
"BEZPOŚR. LUX 2 pokojowy apartament przy Rynku 3100","Śródmieście","3100","2","35","+ czynsz: 600 zł/miesiąc","/pl/oferta/bezposr-lux-2-pokojowy-apartament-przy-rynku-3100-ID4kAxN"
"Wynajmę mieszkanie 2 pok. Z dużym ogródkiem 52 m2","Krzyki","2900","2","40","+ czynsz: 550 zł/miesiąc","/pl/oferta/wynajme-mieszkanie-2-pok-z-duzym-ogrodkiem-52-m2-ID4kC8i"
"2 pokoje Jaracza- Śródmieście","Śródmieście","2800","2","53.94","+ czynsz: poszukaj w opisie","/pl/oferta/2-pokoje-jaracza-srodmiescie-ID4kJzT"
"75 m | 3 Pokoje | Umeblowane | 2-poz | 2 Balkony","Fabryczna","4100","3","75","+ czynsz: 723 zł/miesiąc","/pl/oferta/75-m-3-pokoje-umeblowane-2-poz-2-balkony-ID4iziL"
"Kawalerka - Centrum","Stare Miasto","2000","1","26","+ czynsz: 400 zł/miesiąc","/pl/oferta/kawalerka-centrum-ID4kvyJ"
"Nowe, home office dla singla lub pary, MP i KL","Krzyki","2700","2","37","+ czynsz: 600 zł/miesiąc","/pl/oferta/nowe-home-office-dla-singla-lub-pary-mp-i-kl-ID4fbuD"
"Kawalerka w centrum od zaraz En/Ua","Stare Miasto","1999","1","20","+ czynsz: 350 zł/miesiąc","/pl/oferta/kawalerka-w-centrum-od-zaraz-en-ua-ID4kEpr"
"Jagodno Łany 5pok. 112mkw, niskie opłaty, jak dom","Krzyki","6900","5","112","+ czynsz: 250 zł/miesiąc","/pl/oferta/jagodno-lany-5pok-112mkw-niskie-oplaty-jak-dom-ID4kJNb"
"Mieszkanie 61m2 Psie-Pole/Poświętne","Psie Pole","4000","3","61","+ czynsz: 1000 zł/miesiąc","/pl/oferta/mieszkanie-61m2-psie-pole-poswietne-ID4kyoS"
"Apartament Marina III, Wrocław","Rynek","14","3","106","+ czynsz: 1500 zł/miesiąc","/pl/oferta/apartament-marina-iii-wroclaw-ID4j9Bo"
"Mieszkanie dwupokojowe z balkonem - ul. Przyjaźni","Krzyki","2200","2","32","+ czynsz: 500 zł/miesiąc","/pl/oferta/mieszkanie-dwupokojowe-z-balkonem-ul-przyjazni-ID4iTqY"
"Premium TV smart, garaż","Stare Miasto","3000","2","40","+ czynsz: poszukaj w opisie","/pl/oferta/premium-tv-smart-garaz-ID4kJLp"
"PROMOCJA - Legnicka 60C -kawalerka (Magnolia Park)","Wrocław","1850","1","16.09","+ czynsz: 362,48 zł/miesiąc","/pl/oferta/promocja-legnicka-60c-kawalerka-magnolia-park-ID4kl6Z"
"3 pokoje, Tramwaj, Dożynkowa 8","Krzyki","3000","3","52","+ czynsz: poszukaj w opisie","/pl/oferta/3-pokoje-tramwaj-dozynkowa-8-ID4kJL8"
"Wynajmę mieszkanie 2 pokojowe","Krzyki","2250","2","44","+ czynsz: 460 zł/miesiąc","/pl/oferta/wynajme-mieszkanie-2-pokojowe-ID4kAsV"
"Piękny apartament przy parku","Śródmieście","7000","5","180","+ czynsz: poszukaj w opisie","/pl/oferta/piekny-apartament-przy-parku-ID4kJJh"
"Stylowy apartament w centrum","Stare Miasto","3900","1","35","+ czynsz: poszukaj w opisie","/pl/oferta/stylowy-apartament-w-centrum-ID4kJIB"
"Willa z ogrodem na Krzykach.","Krzyki","13","4","121","+ czynsz: poszukaj w opisie","/pl/oferta/willa-z-ogrodem-na-krzykach-ID4kJIy"
"nowe – Białowieska 114/33 - bez pośredników","Fabryczna","2852","2","45.39","+ czynsz: 409 zł/miesiąc","/pl/oferta/nowe-bialowieska-114-33-bez-posrednikow-ID4kD0x"
"Mieszkania na wynajem ul. Ptasia - Wrocław","Nadodrze","2000","1","28","+ czynsz: 480 zł/miesiąc","/pl/oferta/mieszkania-na-wynajem-ul-ptasia-wroclaw-ID4kJIw"
"nowe – Madalińskiego 3/62a - boczna Pułaskiego","Krzyki","3326","3","47.31","+ czynsz: 432 zł/miesiąc","/pl/oferta/nowe-madalinskiego-3-62a-boczna-pulaskiego-ID4ksSa"
"Mieszkanie /Stare Miasto/Legnicka","Stare Miasto","2400","2","41","+ czynsz: 800 zł/miesiąc","/pl/oferta/mieszkanie-stare-miasto-legnicka-ID47nXa"
"Nowoczesna Kawalerka Port Popowice","Fabryczna","2300","1","26","+ czynsz: 400 zł/miesiąc","/pl/oferta/nowoczesna-kawalerka-port-popowice-ID4kJI1"
"Wyjątkowe Mieszkanie, Super Lokalizacja.Pirenejska","Krzyki","3200","2","54","+ czynsz: 600 zł/miesiąc","/pl/oferta/wyjatkowe-mieszkanie-super-lokalizacja-pirenejska-ID4d37f"
"Atrakacyjne mieszkanie przy ul. Pięknej","Krzyki","3300","3","53.9","+ czynsz: 500 zł/miesiąc","/pl/oferta/atrakacyjne-mieszkanie-przy-ul-pieknej-ID4jOlI"
"Piękny Apartament,2Łaz,2Sypialnie,150M2 Biskupin","Śródmieście","7190","4","150","+ czynsz: 1450 zł/miesiąc","/pl/oferta/piekny-apartament-2laz-2sypialnie-150m2-biskupin-ID4kEmN"
"Przytulne mieszkanie na Granicznej!","Fabryczna","3000","2","44","+ czynsz: 500 zł/miesiąc","/pl/oferta/przytulne-mieszkanie-na-granicznej-ID4kJGP"
